"date_utc","date_time_utc","usdtz_price"
2021-07-14,"2021-07-14 04:00:04",0.375159898438282
2021-07-14,"2021-07-14 04:10:03",0.375159898438282
2021-07-14,"2021-07-14 04:20:04",0.377072373264918
2021-07-14,"2021-07-14 04:30:03",0.377072373264918
2021-07-14,"2021-07-14 04:40:03",0.377072373264918
2021-07-14,"2021-07-14 04:50:03",0.374203881065125
2021-07-14,"2021-07-14 05:00:04",0.388367140476398
2021-07-14,"2021-07-14 05:10:03",0.388367140476398
2021-07-14,"2021-07-14 05:20:03",0.388367140476398
2021-07-14,"2021-07-14 05:30:03",0.388367140476398
2021-07-14,"2021-07-14 05:40:03",0.38873904956521
2021-07-14,"2021-07-14 05:50:03",0.389046193189082
2021-07-14,"2021-07-14 06:00:03",0.388793797394443
2021-07-14,"2021-07-14 06:10:03",0.388846349325529
2021-07-14,"2021-07-14 06:20:03",0.388846349325529
2021-07-14,"2021-07-14 06:30:03",0.388846349325529
2021-07-14,"2021-07-14 06:40:03",0.389433713126082
2021-07-14,"2021-07-14 06:50:03",0.389433713126082
2021-07-14,"2021-07-14 07:00:04",0.389459983456921
2021-07-14,"2021-07-14 07:10:03",0.383370687321474
2021-07-14,"2021-07-14 07:20:03",0.383370687321474
2021-07-14,"2021-07-14 07:30:03",0.386874831330997
2021-07-14,"2021-07-14 07:40:03",0.380202499340483
2021-07-14,"2021-07-14 07:50:03",0.380365770880994
2021-07-14,"2021-07-14 08:00:04",0.380365770880994
2021-07-14,"2021-07-14 08:10:03",0.384646514837065
2021-07-14,"2021-07-14 08:20:03",0.385193483465384
2021-07-14,"2021-07-14 08:30:03",0.385810922973238
2021-07-14,"2021-07-14 08:40:03",0.388654132218272
2021-07-14,"2021-07-14 08:50:03",0.388654132218272
2021-07-14,"2021-07-14 09:00:04",0.388772821896201
2021-07-14,"2021-07-14 09:10:03",0.384955242230998
2021-07-14,"2021-07-14 09:20:03",0.378070407124772
2021-07-14,"2021-07-14 09:30:03",0.378232350743205
2021-07-14,"2021-07-14 09:40:03",0.378232350743205
2021-07-14,"2021-07-14 09:50:03",0.378227621915452
2021-07-14,"2021-07-14 10:00:04",0.378227621915452
2021-07-14,"2021-07-14 10:10:03",0.378227621915452
2021-07-14,"2021-07-14 10:20:02",0.379976083507818
2021-07-14,"2021-07-14 10:30:03",0.379976083507818
2021-07-14,"2021-07-14 10:40:03",0.378944955947105
2021-07-14,"2021-07-14 10:50:03",0.379476986325026
2021-07-14,"2021-07-14 11:00:04",0.380220687898126
2021-07-14,"2021-07-14 11:10:03",0.380382150584456
2021-07-14,"2021-07-14 11:20:10",0.380382150584456
2021-07-14,"2021-07-14 11:30:03",0.38059551228792
2021-07-14,"2021-07-14 11:40:03",0.38059551228792
2021-07-14,"2021-07-14 11:50:03",0.38059551228792
2021-07-14,"2021-07-14 12:00:04",0.38059551228792
2021-07-14,"2021-07-14 12:10:03",0.38059551228792
2021-07-14,"2021-07-14 12:20:03",0.38059551228792
2021-07-14,"2021-07-14 12:30:03",0.380673339292166
2021-07-14,"2021-07-14 12:40:03",0.380673339292166
2021-07-14,"2021-07-14 12:50:03",0.380673339292166
2021-07-14,"2021-07-14 13:00:03",0.380673339292166
2021-07-14,"2021-07-14 13:10:03",0.383199225165971
2021-07-14,"2021-07-14 13:20:03",0.383199225165971
2021-07-14,"2021-07-14 13:30:03",0.383199225165971
2021-07-14,"2021-07-14 13:40:03",0.383199225165971
2021-07-14,"2021-07-14 13:50:03",0.365431224013819
2021-07-14,"2021-07-14 14:00:04",0.366598805515218
2021-07-14,"2021-07-14 14:10:03",0.370774537799767
2021-07-14,"2021-07-14 14:20:02",0.370774537799767
2021-07-14,"2021-07-14 14:30:03",0.372486146739885
2021-07-14,"2021-07-14 14:40:03",0.372679980594308
2021-07-14,"2021-07-14 14:50:02",0.372740091375201
2021-07-14,"2021-07-14 15:00:04",0.372740091375201
2021-07-14,"2021-07-14 15:10:03",0.378781414752561
2021-07-14,"2021-07-14 15:20:03",0.378781414752561
2021-07-14,"2021-07-14 15:30:03",0.378781414752561
2021-07-14,"2021-07-14 15:40:03",0.378781414752561
2021-07-14,"2021-07-14 15:50:03",0.378781414752561
2021-07-14,"2021-07-14 16:00:04",0.378781414752561
2021-07-14,"2021-07-14 16:10:03",0.378814203640966
2021-07-14,"2021-07-14 16:20:03",0.378814203640966
2021-07-14,"2021-07-14 16:30:03",0.378868826147547
2021-07-14,"2021-07-14 16:40:03",0.378922647747058
2021-07-14,"2021-07-14 16:50:04",0.378427600297292
2021-07-14,"2021-07-14 17:00:04",0.378358193591456
2021-07-14,"2021-07-14 17:10:03",0.381613677230973
2021-07-14,"2021-07-14 17:20:03",0.380999406836842
2021-07-14,"2021-07-14 17:30:03",0.370083696393176
2021-07-14,"2021-07-14 17:40:03",0.37022947185141
2021-07-14,"2021-07-14 17:50:03",0.369112574275671
2021-07-14,"2021-07-14 18:00:04",0.373105593511902
2021-07-14,"2021-07-14 18:10:03",0.373320693318669
2021-07-14,"2021-07-14 18:20:03",0.373320693318669
2021-07-14,"2021-07-14 18:30:03",0.373320693318669
2021-07-14,"2021-07-14 18:40:03",0.373320693318669
2021-07-14,"2021-07-14 18:50:03",0.373320693318669
2021-07-14,"2021-07-14 19:00:04",0.37592085735164
2021-07-14,"2021-07-14 19:10:03",0.37592085735164
2021-07-14,"2021-07-14 19:20:03",0.37592085735164
2021-07-14,"2021-07-14 19:30:03",0.375650784136712
2021-07-14,"2021-07-14 19:40:03",0.377203063767534
2021-07-14,"2021-07-14 19:50:03",0.377332237750792
2021-07-14,"2021-07-14 20:00:04",0.377675990134708
2021-07-14,"2021-07-14 20:10:03",0.377675990134708
2021-07-14,"2021-07-14 20:20:03",0.370356680843549
2021-07-14,"2021-07-14 20:30:03",0.367715170612732
2021-07-14,"2021-07-14 20:40:03",0.367819568193336
2021-07-14,"2021-07-14 20:50:03",0.367819568193336
2021-07-14,"2021-07-14 21:00:03",0.368409544828633
2021-07-14,"2021-07-14 21:10:03",0.369135783281129
2021-07-14,"2021-07-14 21:20:03",0.369135783281129
2021-07-14,"2021-07-14 21:30:04",0.369491635777772
2021-07-14,"2021-07-14 21:40:03",0.369491635777772
